id_commune,adm2_pcode,nom_commune,arrondissement,type_prestataire,effectif,latitude,longitude
C-001,HT0111,Port-au-Prince,Port-au-Prince,Maison de Transfert,139,18.526093,-72.33565
C-001,HT0111,Port-au-Prince,Port-au-Prince,Agent Non Bancaire,248,18.527644,-72.335142
C-001,HT0111,Port-au-Prince,Port-au-Prince,Banque,22,18.529313,-72.339729
C-001,HT0111,Port-au-Prince,Port-au-Prince,ATM,30,18.528176,-72.335727
C-001,HT0111,Port-au-Prince,Port-au-Prince,Microfinance,16,18.526162,-72.339525
C-001,HT0111,Port-au-Prince,Port-au-Prince,Caisse Populaire,6,18.52902,-72.338069
C-002,HT0112,Delmas,Port-au-Prince,Maison de Transfert,168,18.556242,-72.296781
C-002,HT0112,Delmas,Port-au-Prince,Agent Non Bancaire,184,18.552669,-72.297984
C-002,HT0112,Delmas,Port-au-Prince,Banque,25,18.551689,-72.297317
C-002,HT0112,Delmas,Port-au-Prince,ATM,37,18.555096,-72.295679
C-002,HT0112,Delmas,Port-au-Prince,Microfinance,8,18.553433,-72.296096
C-002,HT0112,Delmas,Port-au-Prince,Caisse Populaire,2,18.556664,-72.29482
C-003,HT0117,Cité Soleil,Port-au-Prince,Maison de Transfert,9,18.59215,-72.324911
C-003,HT0117,Cité Soleil,Port-au-Prince,Agent Non Bancaire,21,18.591245,-72.326781
C-003,HT0117,Cité Soleil,Port-au-Prince,Banque,2,18.595081,-72.328656
C-003,HT0117,Cité Soleil,Port-au-Prince,ATM,1,18.596787,-72.325113
C-003,HT0117,Cité Soleil,Port-au-Prince,Microfinance,2,18.593205,-72.327626
C-003,HT0117,Cité Soleil,Port-au-Prince,Caisse Populaire,1,18.592119,-72.326764
C-004,HT0118,Tabarre,Port-au-Prince,Maison de Transfert,52,18.573195,-72.268295
C-004,HT0118,Tabarre,Port-au-Prince,Agent Non Bancaire,56,18.574359,-72.267713
C-004,HT0118,Tabarre,Port-au-Prince,Banque,8,18.575337,-72.266452
C-004,HT0118,Tabarre,Port-au-Prince,ATM,9,18.572215,-72.264873
C-004,HT0118,Tabarre,Port-au-Prince,Microfinance,3,18.575169,-72.264081
