id_commune,nom_commune,arrondissement,zone_wbg,urbain_rural,strate,brh_maison_de_transfert,brh_agent_non_bancaire,brh_banque,brh_atm,brh_microfinance,brh_caisse_populaire,brh_total_effectif,population_totale,population_urbaine,pop_masculine,pop_masculine_urbaine,pop_feminine,pop_feminine_urbaine,pop_masculine_18_plus,pop_masculine_18_plus_urbaine,pop_feminine_18_plus,pop_feminine_18_plus_urbaine,nb_menages,nb_menages_urbains,superficie_km2,superficie_urbaine_km2,taux_compte_formel,taux_compte_mobile,taux_utilisation_OTA,score_connaissance_fka,taux_connaissance_banque,taux_satisfaction_banque,taux_epargne_formelle,taux_endettement_formel,taux_telephone_mobile,taux_internet,acces_routier,classe_urbanisation,classe_densite_demographique,classe_densite_bancaire,classe_diversite_services,taux_pauvrete_proxy,indice_privation_spatiale,classe_privation_spatiale,departement,classe_taille_population,classe_pauvrete,a_une_banque,profil_services_financiers,classe_taille_menage,part_urbaine,densite_hab_km2,densite_bancaire_10k,nb_types_services,taille_moyenne_menage
C-001,Port-au-Prince,Port-au-Prince,PAP,Urbain,Urbaine-PAP,139,248,22,30,16,6,461,989447,988438,468815,468450,520632,519988,322606,322364,358875,358458,213294,213077,36.04,25.29,20.86,7.19,55.06,4.0,91.2,49.72,15.34,11.4,84.34,29.75,Proche,Urbaine,Élevée,Élevée,Élevée,44.2,0.276,Faible,Ouest,Grande,Faible,Oui,Pôle financier complet,Moyenne,0.9989802384564307,27454.134295227526,4.659168202036087,6,4.638888107494819
C-002,Delmas,Port-au-Prince,PAP,Urbain,Urbaine-PAP,168,184,25,37,8,2,424,396122,396122,188524,188524,207598,207598,125356,125356,134822,134822,83739,83739,27.74,27.74,21.11,6.17,52.73,3.92,95.03,59.55,18.04,8.88,77.0,56.33,Proche,Urbaine,Élevée,Élevée,Élevée,56.4,0.492,Moyenne,Ouest,Grande,Moyenne,Oui,Pôle financier complet,Moyenne,1.0,14279.812545061284,10.703773080010704,6,4.730436236401199
C-003,Cité Soleil,Port-au-Prince,PAP,Urbain,Urbaine-PAP,9,21,2,1,2,1,36,265687,265687,130716,130716,134971,134971,86918,86918,87653,87653,59435,59435,21.81,21.81,21.48,6.72,60.39,4.48,96.25,84.06,15.83,12.58,77.48,40.53,Proche,Urbaine,Élevée,Faible,Élevée,74.7,0.93,Élevée,Ouest,Grande,Élevée,Oui,Pôle financier complet,Moyenne,1.0,12181.88904172398,1.354977849875982,6,4.470211155043325
C-004,Tabarre,Port-au-Prince,PAP,Urbain,Urbaine-PAP,52,56,8,9,3,1,129,130564,130564,61873,61873,68691,68691,41143,41143,44611,44611,27547,27547,24.47,24.47,25.07,7.8,63.87,3.44,97.25,83.5,12.6,6.96,76.9,44.19,Proche,Urbaine,Élevée,Élevée,Élevée,63.7,0.657,Moyenne,Ouest,Grande,Moyenne,Oui,Pôle financier complet,Moyenne,1.0,5335.676338373519,9.880212003308722,6,4.739681272007841
C-005,Carrefour,Port-au-Prince,PAP,Urbain,Urbaine-PAP,230,122,12,9,7,1,381,512467,511446,244664,244077,267803,267369,162643,162251,178235,177946,105196,104938,165.16,21.85,18.98,7.56,54.28,4.83,100.0,60.6,16.03,10.03,78.03,33.09,Proche,Urbaine,Élevée,Élevée,Élevée,45.4,0.241,Faible,Ouest,Grande,Faible,Oui,Pôle financier complet,Grande,0.9980076765918586,3102.851780092032,7.434625058784273,6,4.871544545419978
C-006,Pétion-Ville,Port-au-Prince,PAP,Urbain,Urbaine-PAP,124,129,28,34,9,3,327,377688,374446,183838,183190,193850,191256,127288,126842,132581,130829,83259,82552,165.49,37.34,15.92,11.24,53.01,3.31,63.5,58.43,16.51,11.04,68.07,48.28,Proche,Urbaine,Élevée,Élevée,Élevée,53.8,0.432,Moyenne,Ouest,Grande,Moyenne,Oui,Pôle financier complet,Moyenne,0.9914161953781958,2282.2406187685056,8.657939886890768,6,4.536302381724498
C-007,Kenscoff,Port-au-Prince,Connectée (RN),Urbain,Urbaine-Connectée (RN),2,8,0,0,0,1,11,57573,49885,28978,25305,28595,24580,18748,16308,18611,15981,13178,11484,202.76,1.46,14.47,2.39,53.49,4.23,94.43,50.51,13.77,9.7,80.74,42.26,Moyen,Urbaine,Moyenne,Moyenne,Moyenne,78.6,0.895,Élevée,Ouest,Moyenne,Élevée,Non,Caisse populaire uniquement,Petite,0.8664651833324649,283.9465377786546,1.9106178243273757,3,4.368872363029292
C-008,Gressier,Port-au-Prince,Non-connectée (H-Ile),Urbain,Urbaine-Non-connectée (H-Ile),31,21,0,0,0,2,54,36541,34142,18440,17280,18101,16862,11655,10899,11783,10980,8985,8427,92.31,1.76,16.37,7.95,55.58,3.03,91.89,72.84,11.76,10.25,79.47,41.61,Proche,Urbaine,Moyenne,Élevée,Moyenne,63.6,0.68,Moyenne,Ouest,Petite,Moyenne,Non,Caisse populaire uniquement,Petite,0.9343477190005747,395.8509370599068,14.77792069182562,3,4.066889259877573
C-009,Léogâne,Léogâne,Connectée (RN),Urbain,Urbaine-Connectée (RN),65,65,3,2,6,4,145,200287,190275,99844,94891,100443,95384,64954,61743,67175,63813,46307,43953,385.23,10.61,13.18,2.36,47.07,3.89,74.66,68.63,15.23,14.03,74.45,29.79,Proche,Urbaine,Élevée,Élevée,Élevée,72.3,0.846,Élevée,Ouest,Grande,Élevée,Oui,Pôle financier complet,Petite,0.9500117331629112,519.9153752303819,7.2396111579882865,6,4.325199213941737
C-010,Petit-Goâve,Léogâne,Non-connectée (H-Ile),Urbain,Urbaine-Non-connectée (H-Ile),26,49,3,1,4,0,83,173389,170529,88019,86438,85370,84091,56645,55627,56406,55577,39766,39077,387.88,6.69,27.8,7.63,66.79,4.14,100.0,80.53,12.75,12.82,85.95,42.46,Moyen,Urbaine,Élevée,Élevée,Élevée,52.6,0.423,Faible,Ouest,Grande,Faible,Oui,Pôle financier complet,Petite,0.9835052973372013,447.0171186965041,4.786924199343672,5,4.360232359301916
