osm_id;osm_type;type_service;name;operator;network;latitude;longitude;adm2_name;adm2_pcode;adm1_name;addr_city;addr_street;phone;opening_hours;website
615050968;node;Banque commerciale;inconnu;Banque Nationale de Crédit;N/R;19.758745;-72.199603;Cap-Haitien;HT0311;Nord;;;;Mo-Sa 08:00-18:00;
616073726;node;IMF;Inter-American Cooperative Food Production Service;N/R;N/R;18.192405;-73.751932;Les Cayes;HT0711;Sud;;;;;
616838862;node;Maison de transfert;Western Union;N/R;N/R;18.508615;-72.62948;Leogane;HT0121;Ouest;;;;;
618278468;node;Maison de transfert;Western Union;N/R;N/R;18.428009;-72.860178;Petit-Goave;HT0122;Ouest;;;;;
618291030;node;Banque commerciale;Soge Bank;N/R;N/R;18.431317;-72.867377;Petit-Goave;HT0122;Ouest;;;;;
618291421;node;Banque commerciale;Banque Nationale;N/R;N/R;18.430116;-72.868809;Petit-Goave;HT0122;Ouest;;;;;
618291791;node;Banque commerciale;Soge Bank;N/R;N/R;18.430533;-72.868809;Petit-Goave;HT0122;Ouest;;;;;
618292220;node;Banque commerciale;UNIBANK;N/R;N/R;18.430004;-72.868374;Petit-Goave;HT0122;Ouest;;;;;
619570381;node;Banque commerciale;N/R;Sogebank;N/R;18.194952;-73.748006;Les Cayes;HT0711;Sud;;;;;
912323356;node;Banque commerciale;N/R;N/R;N/R;18.53911;-72.302051;Port-au-Prince;HT0111;Ouest;;;;;
956849914;node;Banque commerciale;Sogebank Succursale de Freres;Sogebank S.A.;N/R;18.527003;-72.276886;Petion-Ville;HT0114;Ouest;;Route de Frères (Delmas 105);;;
956852342;node;Maison de transfert;N/R;"Western Union;Sogexpress";N/R;18.526039;-72.265832;Petion-Ville;HT0114;Ouest;;;;;
970302759;node;Banque commerciale;Sogebank;N/R;N/R;18.512541;-72.288052;Petion-Ville;HT0114;Ouest;;Rue Louverture;;;
970302763;node;Banque commerciale;N/R;sogebank;N/R;18.512604;-72.288006;Petion-Ville;HT0114;Ouest;;Rue Louverture;;;
986198607;node;Banque commerciale;Socolavim;N/R;N/R;18.950579;-72.706636;Saint-Marc;HT0531;Artibonite;;;;;
1077369690;node;Bureau de change;CAM transfer;N/R;N/R;18.234736;-72.535151;Jacmel;HT0211;Sud-Est;;;;;
1080579041;node;Banque commerciale;UniCarte;UniBank;N/R;18.514217;-72.288372;Petion-Ville;HT0114;Ouest;;rue Faubert;;;
1102138983;node;Banque commerciale;SogeBank;N/R;N/R;18.537938;-72.295441;Delmas;HT0112;Ouest;;;;;
1102139023;node;Banque commerciale;Banque Union Haitienne;N/R;N/R;18.54072;-72.297797;Delmas;HT0112;Ouest;;;;;
1108073763;node;Banque commerciale;cam transfer;N/R;N/R;18.238894;-72.538273;Jacmel;HT0211;Sud-Est;;rue seymour pradel;;Mo-Fr 08:30-20:00;
1108073909;node;Banque commerciale;unibank;N/R;N/R;18.239442;-72.539015;Jacmel;HT0211;Sud-Est;;rue avenue de la liberte;;Mo-Fr 08:30-20:00;
1108073942;node;Banque commerciale;b n c;N/R;N/R;18.239539;-72.539377;Jacmel;HT0211;Sud-Est;;rue avenue de la liberte;;Mo-Fr 08:30-20:00;
1108074031;node;Banque commerciale;soge bank;N/R;N/R;18.239294;-72.538745;Jacmel;HT0211;Sud-Est;;rue avenue de la liberte;;Mo-Fr 08:30-20:00;
1108074043;node;Banque commerciale;N/R;ona;N/R;18.23738;-72.537582;Jacmel;HT0211;Sud-Est;;Rue Petion;;Mo-Fr 08:30-16:00;
1108319246;node;IMF;Bureau Fonkoze et Money Gram Transfert;N/R;N/R;18.6653;-71.885012;Cornillon / Grand Bois;HT0134;Ouest;;;;;
1108339278;node;Bureau de change;CAM;N/R;N/R;19.669936;-72.678706;Gros Morne;HT0521;Artibonite;;;;;
1109574141;node;Maison de transfert;cam et western union;N/R;N/R;18.553745;-72.315832;Delmas;HT0112;Ouest;;;;Mo-Fr 08:30-20:00;
1109629984;node;Autre (vending_machine);N/R;digicel;N/R;18.54854;-72.305334;Delmas;HT0112;Ouest;;;;;
1120069778;node;Banque commerciale;Unibank;N/R;N/R;18.528058;-72.27386;Petion-Ville;HT0114;Ouest;;Rte de Freres;;;
1124105298;node;Autre (telephone);N/R;digicel;N/R;18.236404;-72.535361;Jacmel;HT0211;Sud-Est;;ave barranquilla;;;
1126780802;node;Maison de transfert;Western Union;Western Union;N/R;18.23669;-72.532718;Jacmel;HT0211;Sud-Est;jacmel;ave.barranquilla;37-64-52-82;Mo-Fr 08:30-20:00;
1126855054;node;IMF;bureau central jacmel-mikro credit;N/R;N/R;18.237038;-72.537489;Jacmel;HT0211;Sud-Est;;ave la liberte;;;
1126855633;node;Maison de transfert;bureau cam transfert;N/R;N/R;18.23649;-72.537651;Jacmel;HT0211;Sud-Est;;ave la liberte;;24/7;
1141397582;node;Maison de transfert;N/R;western union;N/R;18.235834;-72.535907;Jacmel;HT0211;Sud-Est;jacmel;rue dauphine;;;
1144218381;node;Banque commerciale;bnc;N/R;N/R;18.50904;-72.630521;Leogane;HT0121;Ouest;leogane;grand rue;;"Tu-Su 08:00-15:00;Sa 08:00-12:00";
1144601819;node;Maison de transfert;unitransfere;N/R;N/R;18.268094;-72.665072;La Vallee;HT0214;Sud-Est;la vallé Jacmel;ridore;;;
1144603521;node;Maison de transfert;N/R;western union;N/R;18.183256;-72.753108;Bainet;HT0221;Sud-Est;bainet;5eme bas grandour;;;
1144604393;node;Banque commerciale;N/R;cam;N/R;18.183117;-72.753484;Bainet;HT0221;Sud-Est;ht;5eme bas grandour;;;
