variable,transformation_acp,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12,Dim13,Dim14,Dim15,Dim16,Dim17,Dim18,Dim19,Dim20,Dim21,Dim22,Dim23,Dim24
brh_maison_de_transfert,log1p avant standardisation,0.8839242353019254,-0.2912134555714354,0.060690694622776466,-0.02050825018726183,-0.03729966937566775,-0.013031165592472947,0.04266331089651624,-0.0643950320580484,-0.005559139410893191,-0.04703316256032414,0.022627656061109804,-0.0549847081926426,0.1257755423359872,-0.01943397526164052,-0.06991093999895771,-0.02226691000919765,0.0315273460645238,0.24801208542124822,0.18709051751447522,0.060376055659061796,0.005300464271801279,0.010780777554756519,0.027923465451480167,2.2352020042578778e-06
brh_agent_non_bancaire,log1p avant standardisation,0.8305311300451446,-0.390072838700117,0.1685416537755677,-0.05804663569466343,-0.05731532081225603,0.018554528426276546,0.024031901752882594,-0.07910704168043987,0.07422922641574892,-0.00023621002069012202,0.07425680025286077,-0.07766156012985607,0.26269201849538415,0.01723692240427307,0.06742006952609073,0.034091892026064656,-0.004600352880855096,-0.10169855541029103,-0.11750852063243984,-0.0534401562530569,-0.00785312452975021,0.0010052803925417872,0.062105505878017254,5.823794466411331e-06
brh_banque,log1p avant standardisation,0.8602386038165868,-0.25254004091954935,-0.24446560586121815,0.007384098350080226,0.0205568335735697,-0.034140516200524905,0.012711161887948241,0.05769426359473147,-0.001811654578474098,0.06678560551698458,-0.0243109969533222,-0.20369672077035508,-0.16787524657872574,-0.015841182934765774,-0.05572428911290835,0.12563304624669946,0.0808025509978752,-0.043948201090671296,0.018084756595898695,-0.08037367778961158,0.1482455954432501,0.08609611370726103,-0.002311066674844043,2.496249097759706e-07
brh_atm,log1p avant standardisation,0.8330341155013217,-0.2119960031856519,-0.27134036728898014,0.011651687655985309,0.061911023950965226,-0.10487555422347744,0.03365322690366497,-0.003078715310997767,0.007202785082743994,0.10656414665075001,-0.095502750207858,-0.14500832505753192,-0.1550721498597366,-0.03862142597010658,-0.08250601360427248,0.2794705960685285,0.05573894313286458,0.02664317513038057,-0.05126199517051447,0.04957435135649761,-0.11453838078308078,-0.06740647851709365,-0.000263207793456394,1.1444374492919212e-06
brh_microfinance,log1p avant standardisation,0.8359922478436441,-0.3368699497787259,0.06465676904029648,-0.045735691953344,-0.0776142902498731,0.050512218928635326,0.04596678730181618,0.1248917002534006,0.019864325450561864,-0.08569680954823662,-0.028238081519800416,-0.12614308042927008,-0.17967557545006876,-0.033424377278419834,-0.07636411071884798,-0.2197565557246724,-0.0781652653140512,-0.09701214328470117,0.08853034774226491,-0.12943459597021081,-0.10069223502310215,-0.006869273800905114,-0.00033029846635788983,-3.654276511304908e-07
brh_caisse_populaire,log1p avant standardisation,0.5917727122707103,-0.28252405438819483,0.1561364873611453,0.1677807235707569,-0.16949009721738986,0.23530238195519024,-0.3031493342653974,-0.03203395907934095,0.02252776447736562,-0.026934631296509262,-0.020614355995357277,0.5482782883966126,-0.08212447916955208,0.12950977412636308,-0.025051117442978416,0.09916807560969475,0.047051928670402046,0.05212532323484903,-0.006942169920970505,-0.07790381854833078,-0.014077836233330985,0.011682897516064428,-0.0013402793743448758,-7.35327805754073e-07
population_totale,log1p avant standardisation,0.7391116953961924,-0.4446142721845534,0.17691108396824265,0.20455787948130585,0.185383053975374,0.010262965233228179,0.2884227540315764,0.06438038942595205,-0.0561569055061236,0.03735761823166874,-0.0882077502849281,0.08969115521549986,0.18452802753647074,-0.052795917972753285,-0.07925908104927738,-0.027638583709046306,-0.011240889593106268,-0.018930303845957383,-0.03863566811254113,0.018998841790249743,0.009012577434314908,0.0058976471232398825,-0.039570117784628,0.00131516712785243
superficie_km2,log1p avant standardisation,0.14119310242326993,-0.2289406680971878,0.8711511162085246,0.02688063167005544,0.029692817132230015,0.10174444165111375,0.38693203138383664,0.023543557328580877,-0.04746091971745443,0.017869068371093425,-0.01368422036508817,-0.05362613408520658,-0.029004490301639825,0.03337423098721981,-0.005853300737671888,0.0509554755009558,0.04755407244825939,0.012132951459234672,-0.023107216898437,0.009131018870277422,0.007384981031455813,0.0005721846193553286,-0.020272262349661604,-0.0011684281574319054
superficie_urbaine_km2,log1p avant standardisation,0.7533678371137135,-0.14376272584237998,-0.04702320798931947,0.05235991914987741,0.24192599847428037,-0.30320854252201535,0.08469361407104876,0.0930137467443323,-0.016575597565449265,0.12644902347264916,-0.04588407380593844,0.10320393870092803,-0.09671796630928405,0.062051600528774946,0.4494871852041722,-0.033979366297378036,-0.023361860633021043,0.014463260587129746,0.03578824981867526,0.01307266776337908,0.0023982888176075938,-0.009541677277465875,-0.0006753524400466331,4.061434597607743e-07
taux_compte_formel,standardisation seule,-0.5193177861301064,-0.29765450549237205,-0.005284750228607753,0.07123154699877915,-0.12336218079417549,-0.4210319431139436,0.20090136940116163,-0.005060943277476743,0.5828023212951793,-0.08397192955135548,-0.010804235287536846,0.06569953334382497,-0.01141805516929724,0.14007481754708354,-0.07739429543794427,0.0828497547839567,-0.16126747026379953,-0.008562977721740816,0.028755821668271116,0.001005283785521881,0.009523164727175494,0.013488884062980386,-0.0008778915376778865,1.5277838355913416e-06
