variable,transformation_acp,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12,Dim13,Dim14,Dim15,Dim16,Dim17,Dim18,Dim19,Dim20,Dim21,Dim22,Dim23,Dim24
brh_maison_de_transfert,log1p avant standardisation,0.7757411819415613,0.08419952472938563,0.0036570506965536995,0.00041758412341658514,0.0013813277259945912,0.00016859833900774687,0.0018071569673909881,0.004117100724087371,3.068328791124759e-05,0.0021963175348513964,0.0005083535986854494,0.0030017230054941173,0.015706490713840848,0.0003749816845095538,0.004852628534884004,0.0004922737436337208,0.000986873738801724,0.06107063741131772,0.03475284130280663,0.003619230467682212,2.7894243485951447e-05,0.00011539498493739045,0.0007741504947998604,4.9604413712681385e-12
brh_agent_non_bancaire,log1p avant standardisation,0.6848549439885318,0.15106998506662683,0.02820338699270743,0.0033453446875013194,0.0032615813855274398,0.00034181144994206307,0.0005734070711326252,0.0062132245859777375,0.005470621068178481,5.5396636918181636e-08,0.005474686152480423,0.00598823707950462,0.06851418874845613,0.00029498926901399403,0.004512998162225003,0.0011539552654745808,2.1012080581045998e-05,0.01026872048559326,0.013709622046787141,0.002835451369634326,6.12310537020515e-05,1.0033701771458996e-06,0.0038295431899332388,3.367432068709588e-11
brh_banque,log1p avant standardisation,0.7347246665284786,0.06332092603716435,0.0593365507887417,5.413544481191701e-05,0.0004195649536673599,0.001157249311820885,0.00016041953913775885,0.003304852137083077,3.2586487951939694e-06,0.004428457696382628,0.0005868029687725514,0.04119598009507739,0.02798079771091172,0.0002491506262243374,0.0030830164228737127,0.015670921864159405,0.006482416160280182,0.0019176483478267493,0.0003247222895533801,0.006413785737989517,0.021819779735692855,0.007359594075525796,5.302878967177731e-06,6.186750561222806e-14
brh_atm,log1p avant standardisation,0.6889890816062895,0.044621288899785935,0.07309969781394342,0.00013479209790954997,0.003805596494609435,0.010920318431726674,0.001124450111879347,9.41078448069941e-06,5.1509540712855056e-05,0.011274803656035379,0.00905562690228405,0.020877218519305164,0.023875604721676862,0.0014809601543646753,0.006758619121719328,0.07754592968070638,0.003084638140271788,0.0007047883611636421,0.0026090222049414036,0.00244006191018592,0.013025333239035635,0.004511178822174863,6.87834972323538e-08,1.3003818105179272e-12
brh_microfinance,log1p avant standardisation,0.6938910167514186,0.11267078189917859,0.004150637084282151,0.0020768124218908017,0.005980949636341583,0.0025332593735151294,0.0020978530667443264,0.015486522957955308,0.0003917729154229394,0.007291486429841377,0.0007916936104337557,0.015798419049183915,0.0320527173246467,0.0011092090750469284,0.005789823995838447,0.047947994185513924,0.006066167210890163,0.009344131973657844,0.007781639453713702,0.01663364810087185,0.010066505292562259,4.684987310500263e-05,1.0831781204352812e-07,1.325835298663847e-13
brh_caisse_populaire,log1p avant standardisation,0.3476935505383155,0.07924969958431519,0.024204469809152154,0.02794929712191287,0.028521700961511867,0.05497173087554469,0.09124309373079935,0.001018844716194766,0.0005038751711165997,0.0007202924033426156,0.0004219163040097257,0.29846187380192424,0.006696255578306809,0.016652976011445365,0.0006230759245337386,0.00976406216855774,0.0021980705345217033,0.0026976418271779283,4.784948233154439e-05,0.006025654909094001,0.00019676986249096817,0.00013551516512535768,1.783517738427897e-06,5.368447891871327e-13
population_totale,log1p avant standardisation,0.5423840547123483,0.19626983780855448,0.031073977833455394,0.041545040871760384,0.03412139901051307,0.00010457610926860352,0.08259348729285036,0.004115228581618372,0.0031310723357663613,0.0013856231282292197,0.007725031444540119,0.00798704258586304,0.03380737442545383,0.0027674988906243475,0.006237130486427479,0.0007584349429459405,0.00012545504456694387,0.0003557967151024073,0.0014820526015702567,0.0003583777323040022,8.064636235231085e-05,3.453379700747185e-05,0.0015546099770501129,1.7173098272251435e-06
superficie_km2,log1p avant standardisation,0.019793095799251408,0.052039445012295106,0.7534835225051305,0.0007174071564170325,0.0008753657936105618,0.010277989039704718,0.14864699407574428,0.000550339812457856,0.002236449336852168,0.00031702286441901833,0.0001859203306645765,0.0028552210979465075,0.0008352514543889293,0.0011058832990312381,3.401640717187559e-05,0.0025779143372175756,0.0022452370220827607,0.00014615702174705728,0.0005301295908428996,8.277996628358081e-05,5.414838808614074e-05,3.2505670120803783e-07,0.0004080291591965518,1.3554727565148555e-06
superficie_urbaine_km2,log1p avant standardisation,0.5635090758688411,0.02052009476061963,0.00219538793182389,0.0027219785538575405,0.05811013024679331,0.09127873868505092,0.007121772491098485,0.008589760247108641,0.00027278793154707204,0.015875145854778085,0.0020903100273928833,0.010574974013646434,0.009287548114096622,0.0038228982629813536,0.20059559587946402,0.0011463502101573075,0.000541878128435007,0.00020769172176256885,0.0012716502620475946,0.0001696739664341783,5.71070504371404e-06,9.039329380111342e-05,4.528430545749624e-07,1.6377427769283396e-13
taux_compte_formel,standardisation seule,0.2677645989697109,0.0879653603210523,2.772909508606428e-05,0.005037690907211874,0.015109526024221349,0.17600169785714423,0.04007306479706739,2.5430195808852563e-05,0.3372324132377143,0.007000918631487986,0.00011589770371882489,0.004285597048156408,0.00012944075539305066,0.019480804835771307,0.005947092130861991,0.0068150527115634785,0.02582143127267636,7.28008404097224e-05,0.00082099087067586,1.0033769502229692e-06,9.004287594648463e-05,0.00018065035045549446,7.651885979841145e-07,2.3174511379492397e-12
taux_compte_mobile,standardisation seule,0.28703034805404865,0.37299128428870776,0.003065972530009033,0.021896299160464892,0.03376333905985152,0.05033905007581871,0.0026902216099452003,0.00023662108573242863,0.04937337494482242,0.0028180689294628317,0.013911575309316587,0.019738060944567048,0.002223138331967973,0.042787798963965194,0.0001594750331558011,0.013901550949499155,0.08147525528260989,0.0006530308070841657,0.00023659565822639787,0.0006031299068479646,4.103378098313571e-05,6.468603517464572e-05,8.925764433816209e-08,9.430849613114864e-14
taux_utilisation_OTA,standardisation seule,0.3260112059748123,0.27507744550095337,0.011893375746158239,0.0002376587203370747,0.00017777677840634908,0.01131072354238719,0.018218349886406828,0.02591718009043017,0.020058948285621842,0.029069217048998,0.10039627522316148,0.03015563335488474,0.006100704720031738,0.12048609727938925,0.00011279819573895254,0.004068623203671615,0.020274342366145566,4.893687232200011e-05,0.0001984396050875177,2.1715151686101455e-05,9.551705028045821e-05,5.451546764539671e-05,1.451993489197473e-05,5.517936733349013e-13
score_connaissance_fka,standardisation seule,0.13772520871644878,0.1733043052664522,0.0012613465678838198,0.004950213060158275,0.0009174122501267791,0.11281664393709293,0.00016612571239860347,0.33808878122464253,0.0240160559264519,0.008267944931817263,0.1743569518619783,0.004125925288798723,0.0037043511883552396,0.0063973005489403,0.006353292649424887,0.0018213967893795015,0.001174216485862505,0.00013134074872960872,8.612691474531433e-05,0.00020852606681230306,0.0001225427225846223,2.718185733690807e-06,1.2729541674578586e-06,1.0145020282169871e-12
taux_connaissance_banque,standardisation seule,0.002453444531949196,0.005774375948875686,0.012700673948168957,0.5511097228595044,0.02554801633390259,0.11382342163122115,0.00505634546231147,0.05272500792860737,0.030516831677687924,0.1743597301690691,0.002981615483709884,0.007764131073500553,0.0005734528369040519,0.010449289765938608,0.0018111331198688665,0.0005786280127552446,0.0010180410118549583,7.930523405576609e-05,4.63228526086915e-06,0.0005809192929981087,1.3711303834854802e-07,9.10562314217929e-05,8.804736538424087e-08,2.975299583151486e-14
taux_satisfaction_banque,standardisation seule,0.08562263204968301,0.0004157714736900219,0.03809416959674894,0.3819835878617506,0.010838601065484267,0.0059468599952019275,0.07907149812110734,0.04884091270351719,0.03056507740907293,0.2802176702639639,0.0006592104564175975,0.03276592145033092,0.0026564063058171494,9.991302010246816e-05,5.130083183892113e-06,0.001155856691798001,0.00029389229820347653,8.32723048364994e-05,0.0005058383765896462,1.880094090038471e-06,0.00017302582025355997,2.456557696036597e-08,2.847992036372089e-06,5.432681168963848e-13
taux_epargne_formelle,standardisation seule,0.400153275725147,0.4605546023881666,0.001801485227143384,0.0007568446519880577,0.0047533920907434305,0.0020971964618308647,0.006170942697675324,0.01208515807275592,0.018957131415333107,0.0018961103322649396,0.00978126590248757,0.005130147488559349,0.003471342488535114,0.006821005154243708,0.004825782592716648,0.0002688139637916658,0.01356638981343616,0.01569483541969155,0.00907800305219073,0.0007559014256663813,0.00476155112203258,0.016612659829600886,6.162683493798543e-06,5.053600157068269e-13
taux_telephone_mobile,standardisation seule,0.1301532516610499,0.23242422611326927,0.004914331108306229,0.003696734588283382,0.1419277752809632,0.01874084661335348,0.0006052896035314486,0.15786982044092027,0.046725470160161826,0.051762478864702276,0.15679804478714643,0.0005968685425577195,0.005039147727017503,0.03286140951511631,0.011436876516863499,0.001956950891221101,6.120366061874816e-05,0.0018320497401436964,0.0005100108128423603,1.8549334728430103e-06,2.8356972343800268e-05,4.945944843409765e-05,7.542017680183805e-06,3.3199059753730557e-16
taux_internet,standardisation seule,0.35145097471484976,0.5217072185478803,0.0013524507108205427,0.0014092125250835395,0.0026119892448826397,0.005470865592996386,0.002164996929083697,0.029877601629809382,0.011271448491018262,0.00024956828136751466,0.0028017337336795098,0.0010477277836508502,0.0013892656842799782,0.00857453441051726,0.0002153347306081714,0.00014342761025801974,0.015485795463328832,0.012186484051178557,0.0012264545514174754,0.004598673329331105,0.008119531323931813,0.01664218208937517,2.5285705997062938e-06,5.140147490339375e-14
indice_privation_spatiale,standardisation seule,0.007549093801715436,0.006957540933187661,0.05016730909868172,0.0004359155594314512,0.5878458456368293,0.024770659675084218,0.11302697481998727,0.012703465277316932,0.09864017574771057,0.08153215073157756,0.004749431647464485,0.005088716660509267,0.00011744651995412633,0.004008042346673103,1.9787615833602686e-06,0.0004072580977674982,0.0019321777162445894,4.287928880477655e-05,7.857629485849923e-06,3.523345367981689e-08,1.483879237907913e-05,1.5649294359925567e-07,4.9530975645854864e-08,2.387379314828785e-13
part_urbaine,standardisation seule,0.5524130523829125,0.23409859866413918,0.0009204494759657034,0.0003985233043469677,0.0026634277869906895,0.018108230840933583,0.0015775261164282684,0.021356032523687788,0.029587821577776393,0.0018923303141145185,8.14928172690544e-06,0.0042131068883258715,0.00953936708636953,0.005680784066351253,0.0037954307755936347,0.03764576963012607,0.0008195093020527573,0.04323176445948686,0.03002452674471846,0.0017736513171493205,0.0001802495442074709,6.058024420599487e-05,1.1117669901019731e-05,2.4892352187961944e-12
densite_hab_km2,log1p avant standardisation,0.39841536543473716,0.06182117884986816,0.3705397675317557,0.03454401447148299,0.026721859119827187,0.006828934114002091,0.003064763064594303,0.0019718470739356372,0.00018189085216038437,0.0005015248152063822,0.006162241131643778,0.019633447513674553,0.046201527862349455,0.0071341323918316345,0.005783557213338571,0.005554609350397654,0.003033910944908907,0.0009107831150079568,0.0003641489618715848,0.00013057203049602768,6.6582761860345345e-06,3.114477180279545e-05,0.00046048571393153754,1.6353949896330461e-06
densite_bancaire_10k,log1p avant standardisation,0.4581139752178938,0.01787557842141825,0.004359494237338559,0.082285328655608,0.10485165302077899,0.0016577074086183135,0.11273366629018224,0.04755094818467701,0.020532738419213343,0.003001201510949404,0.06189600604820064,0.04558758535992517,0.017744815652643853,0.002789446974941315,0.014369556941648334,0.0014358441853311867,1.310373315088925e-05,3.779733343739378e-05,0.00015836949567571903,1.2398694545246417e-05,2.1657277721791493e-05,0.000277492600674813,0.0026936343096281845,2.5797633092528932e-11
nb_types_services,standardisation seule,0.7242663899666405,0.053823658148541106,0.014463038680521907,0.004962893226084022,0.028080376992205693,0.008245125630672534,0.03284249843182735,0.008314382345559012,3.4153264957240735e-05,0.010629810015654623,0.0014877160798999188,0.0005621591475068597,0.03225577163552384,0.0020652510453659633,0.003603252755494977,0.013067604479799174,0.005538101473023623,0.009648409399802252,0.0018666440659984484,0.040864228706125265,0.003018531381861637,0.00022527927107536462,0.00013472385021965925,5.638893720172415e-12
