id_commune,nom_commune,arrondissement,adm2_pcode,score_acp_dim1_oriente,IIFT,classe_IIFT,IIFT_multi_axes_robustesse
C-001,Port-au-Prince,Port-au-Prince,HT0111,10.041542268552238,100.0,Très élevé,98.68914017949515
C-002,Delmas,Port-au-Prince,HT0112,9.727956236929236,97.73644290538013,Très élevé,100.0
C-003,Cité Soleil,Port-au-Prince,HT0117,4.425250547767277,59.459938619583866,Très élevé,65.82701052668249
C-004,Tabarre,Port-au-Prince,HT0118,6.085278579012329,71.44251388910351,Très élevé,74.97599026819319
C-005,Carrefour,Port-au-Prince,HT0113,8.13231300239148,86.21861621735238,Très élevé,86.61906404901995
C-006,Pétion-Ville,Port-au-Prince,HT0114,9.027930545151065,92.68344959174419,Très élevé,85.20650192182548
C-007,Kenscoff,Port-au-Prince,HT0115,0.9020687144432329,34.02856594911989,Élevé,38.25636946458439
C-008,Gressier,Port-au-Prince,HT0116,1.7676447533784008,40.27655082817897,Très élevé,42.220080434616385
C-009,Léogâne,Léogâne,HT0121,6.188037350039545,72.18425721226501,Très élevé,65.35139191134505
C-010,Petit-Goâve,Léogâne,HT0122,3.6812920557606685,54.08982530819512,Très élevé,55.51083373621947
C-011,Grand-Goâve,Léogâne,HT0123,1.412217206296546,37.710969250273465,Élevé,41.590684070820195
C-012,Croix-des-Bouquets,Croix-des-Bouquets,HT0131,5.976642933348959,70.6583495396992,Très élevé,64.45788568946723
C-013,Thomazeau,Croix-des-Bouquets,HT0132,-0.1671060626368124,26.310944920139622,Moyen,34.52767427749951
C-014,Ganthier,Croix-des-Bouquets,HT0133,1.1937440745685604,36.133965310566,Élevé,41.523654370020246
C-015,Cornillon,Croix-des-Bouquets,HT0134,-1.9159756297405477,13.687085063583243,Faible,14.447081362220745
C-016,Fonds-Verrettes,Croix-des-Bouquets,HT0135,0.20756791144915912,29.015452923325537,Élevé,35.88782556672865
C-017,Arcahaie,Arcahaie,HT0141,3.1903621889773066,50.54614774970545,Très élevé,51.19271338942136
C-018,Cabaret,Arcahaie,HT0142,3.7315850799950283,54.45285529147077,Très élevé,54.940111729189596
C-019,Anse-à-Galets,La Gonâve,HT0151,2.5676120165062533,46.050952081145574,Très élevé,52.1266489825681
C-020,Pointe-à-Raquette,La Gonâve,HT0152,-0.6364848221680772,22.922829653327675,Moyen,24.647185022407776
C-021,Jacmel,Jacmel,HT0211,3.706090729157258,54.26882949665813,Très élevé,41.00749693179929
C-022,Marigot,Jacmel,HT0212,-0.08185196341878044,26.926334324226353,Élevé,21.2899533218483
C-023,Cayes-Jacmel,Jacmel,HT0213,-1.3278516041881352,17.93233892156124,Moyen,16.597690619476925
C-024,La Vallée de Jacmel,Jacmel,HT0214,-0.6250761877272082,23.00518056447923,Moyen,19.331464771214804
C-025,Bainet,Bainet,HT0221,-2.0224687022603383,12.918386443359502,Faible,9.879050350211084
C-026,Côtes-de-Fer,Bainet,HT0222,-2.7762485965988057,7.477379333505514,Très faible,4.9846539823604985
C-027,Belle-Anse,Belle-Anse,HT0231,-1.8546976016276249,14.129408066815978,Faible,9.342985641441583
C-028,Grand-Gosier,Belle-Anse,HT0232,-3.767593273740136,0.3215590772811261,Très faible,3.644000096072343
C-029,Thiotte,Belle-Anse,HT0233,-0.3840083757831097,24.74527961540432,Moyen,24.03252888490041
C-030,Anse-à-Pitre,Belle-Anse,HT0234,-0.31786685041618695,25.22270878601632,Moyen,33.898325668345315
C-031,Cap-Haïtien,Cap-Haïtien,HT0311,7.943704665929451,84.85718523812963,Très élevé,87.61435960846578
C-032,Quartier-Morin,Cap-Haïtien,HT0312,-2.460355528475427,9.757589302652182,Faible,9.577852916790626
C-033,Limonade,Cap-Haïtien,HT0313,1.2594623394664641,36.608339261426785,Élevé,43.683119358634514
C-034,Acul-du-Nord,Acul-du-Nord,HT0321,-0.5908137985562341,23.252496663621752,Moyen,31.752070168777188
C-035,Plaine-du-Nord,Acul-du-Nord,HT0322,0.7919826088266013,33.23393174906351,Élevé,37.31269490837249
C-036,Milot,Acul-du-Nord,HT0323,1.6840381052235995,39.673053215071945,Très élevé,47.56189760947201
C-037,Grande-Rivière-du-Nord,Grande-Rivière-du-Nord,HT0331,-0.28570985135577426,25.45482755415198,Moyen,32.14547817100923
C-038,Bahon,Grande-Rivière-du-Nord,HT0332,-2.925684819086017,6.398704304986456,Très faible,8.979376154180663
C-039,Saint-Raphaël,Saint-Raphaël,HT0341,1.0192869949764756,34.8746823056008,Élevé,32.35129572278286
C-040,Dondon,Saint-Raphaël,HT0342,-1.4260703142415003,17.22336710666552,Faible,26.382834492619423
C-041,Ranquitte,Saint-Raphaël,HT0343,-3.532280596726256,2.0201158553110687,Très faible,4.513001139716202
C-042,Pignon,Saint-Raphaël,HT0344,1.027949579983723,34.93721141650991,Élevé,38.02516831491326
C-043,La Victoire,Saint-Raphaël,HT0345,-0.3071646097989434,25.299960736787565,Moyen,38.273492671287485
C-044,Borgne,Borgne,HT0351,-3.373333222014583,3.1674452048924024,Très faible,4.804552606139097
C-045,Port-Margot,Borgne,HT0352,0.8430564025571491,33.60259755840963,Élevé,37.56966882422012
C-046,Limbé,Limbé,HT0361,2.1686895959473813,43.17141159081996,Très élevé,45.40946384276957
C-047,Bas-Limbé,Limbé,HT0362,-1.253790983712406,18.466930472218465,Moyen,28.388611926036308
C-048,Plaisance,Plaisance,HT0371,0.7302648074950117,32.78843433214919,Élevé,42.97384753561296
C-049,Pilate,Plaisance,HT0372,-0.6890830027539272,22.5431603669982,Moyen,22.13717042954982
