cluster,id_commune,nom_commune,distance
0,C-023,Cayes-Jacmel,0.9800990415750177
0,C-026,Côtes-de-Fer,1.1468610301975406
0,C-118,Beaumont,1.22580589562876
0,C-025,Bainet,1.2360942505006052
0,C-128,Bombardopolis,1.2544749009423357
1,C-120,Port-de-Paix,2.051155659006676
1,C-063,Gonaïves,2.2802000984148707
1,C-090,Les Cayes,2.455354434000245
1,C-012,Croix-des-Bouquets,2.5548391139406634
1,C-005,Carrefour,2.6430002371474255
2,C-016,Fonds-Verrettes,1.0553153061912874
2,C-102,Côteaux,1.191625143495947
2,C-042,Pignon,1.5134265315192987
2,C-058,Terrier-Rouge,1.616173785487655
2,C-037,Grande-Rivière-du-Nord,1.6735179309492678
