id_commune,nom_commune,arrondissement,adm2_pcode,brh_maison_de_transfert,brh_agent_non_bancaire,brh_banque,brh_atm,brh_microfinance,brh_caisse_populaire,population_totale,superficie_km2,superficie_urbaine_km2,taux_compte_formel,taux_compte_mobile,taux_utilisation_OTA,score_connaissance_fka,taux_connaissance_banque,taux_satisfaction_banque,taux_epargne_formelle,taux_telephone_mobile,taux_internet,indice_privation_spatiale,part_urbaine,densite_hab_km2,densite_bancaire_10k,nb_types_services,taille_moyenne_menage
C-001,Port-au-Prince,Port-au-Prince,HT0111,4.941642422609304,5.517452896464707,3.1354942159291497,3.4339872044851463,2.833213344056216,1.9459101490553132,13.804902490850028,3.6119984097779785,3.26918863874179,20.86,7.19,55.06,4.0,91.2,49.72,15.34,84.34,29.75,0.276,0.9989802384564308,10.220308471168048,1.73327692064429,6,4.638888107494819
C-002,Delmas,Port-au-Prince,HT0112,5.1298987149230735,5.220355825078325,3.258096538021482,3.6375861597263857,2.1972245773362196,1.0986122886681096,12.889480048069148,3.358289880650879,3.358289880650879,21.11,6.17,52.73,3.92,95.03,59.55,18.04,77.0,56.33,0.492,1.0,9.566672135189435,2.459911275287448,6,4.730436236401199
C-003,Cité Soleil,Port-au-Prince,HT0117,2.302585092994046,3.091042453358316,1.0986122886681096,0.6931471805599453,1.0986122886681096,0.6931471805599453,12.490077967009514,3.1271990362962967,3.1271990362962967,21.48,6.72,60.39,4.48,96.25,84.06,15.83,77.48,40.53,0.93,1.0,9.407787708681314,0.8565313218513169,6,4.470211155043325
C-004,Tabarre,Port-au-Prince,HT0118,3.970291913552122,4.04305126783455,2.1972245773362196,2.302585092994046,1.3862943611198906,0.6931471805599453,11.779626466033266,3.2375012889913655,3.2375012889913655,25.07,7.8,63.87,3.44,97.25,83.5,12.6,76.9,44.19,0.657,1.0,8.582358329633347,2.386945726836183,6,4.739681272007841
C-005,Carrefour,Port-au-Prince,HT0113,5.442417710521793,4.812184355372417,2.5649493574615367,2.302585092994046,2.0794415416798357,0.6931471805599453,13.146993549020912,5.112951179567856,3.128951117340214,18.98,7.56,54.28,4.83,100.0,60.6,16.03,78.03,33.09,0.241,0.9980076765918586,8.040399128903971,2.1323452643619905,6,4.871544545419978
C-006,Pétion-Ville,Port-au-Prince,HT0114,4.8283137373023015,4.867534450455582,3.367295829986474,3.5553480614894135,2.302585092994046,1.3862943611198906,12.841826384633343,5.114935247556761,3.6464937376174986,15.92,11.24,53.01,3.31,63.5,58.43,16.51,68.07,48.28,0.432,0.9914161953781958,7.733351036844857,2.2677803632541758,6,4.536302381724498
C-007,Kenscoff,Port-au-Prince,HT0115,1.0986122886681096,2.1972245773362196,0.0,0.0,0.0,0.6931471805599453,10.96082635588846,5.316942830671201,0.9001613499442714,14.47,2.39,53.49,4.23,94.43,50.51,13.77,80.74,42.26,0.895,0.8664651833324649,5.652301575930494,1.0683653694140813,3,4.368872363029292
C-008,Gressier,Port-au-Prince,HT0116,3.4657359027997265,3.091042453358316,0.0,0.0,0.0,1.0986122886681096,10.50621756297161,4.535927283245931,1.0152306797290587,16.37,7.95,55.58,3.03,91.89,72.84,11.76,79.47,41.61,0.68,0.9343477190005748,5.9835607367786645,2.7586115381566283,3,4.066889259877573
C-009,Léogâne,Léogâne,HT0121,4.189654742026425,4.189654742026425,1.3862943611198906,1.0986122886681096,1.9459101490553132,1.6094379124341003,12.207511609724428,5.956433046936053,2.4518667957098,13.18,2.36,47.07,3.89,74.66,68.63,15.23,74.45,29.79,0.846,0.9500117331629112,6.255587600979738,2.1089531532433896,6,4.325199213941737
C-010,Petit-Goâve,Léogâne,HT0122,3.295836866004329,3.912023005428146,1.3862943611198906,0.6931471805599453,1.6094379124341003,0.0,12.06329867153872,5.9632708127372,2.0399207835175526,27.8,7.63,66.79,4.14,100.0,80.53,12.75,85.95,42.46,0.423,0.9835052973372012,6.104831443061074,1.755600924068673,5,4.360232359301916
