id_commune,nom_commune,arrondissement,adm2_pcode,strate,acces_routier,classe_urbanisation,classe_densite_demographique,classe_densite_bancaire,classe_diversite_services,classe_privation_spatiale,departement,classe_taille_population,profil_services_financiers,classe_taille_menage
C-001,Port-au-Prince,Port-au-Prince,HT0111,Urbaine-PAP,Proche,Urbaine,Élevée,Élevée,Élevée,Faible,Ouest,Grande,Pôle financier complet,Moyenne
C-002,Delmas,Port-au-Prince,HT0112,Urbaine-PAP,Proche,Urbaine,Élevée,Élevée,Élevée,Moyenne,Ouest,Grande,Pôle financier complet,Moyenne
C-003,Cité Soleil,Port-au-Prince,HT0117,Urbaine-PAP,Proche,Urbaine,Élevée,Faible,Élevée,Élevée,Ouest,Grande,Pôle financier complet,Moyenne
C-004,Tabarre,Port-au-Prince,HT0118,Urbaine-PAP,Proche,Urbaine,Élevée,Élevée,Élevée,Moyenne,Ouest,Grande,Pôle financier complet,Moyenne
C-005,Carrefour,Port-au-Prince,HT0113,Urbaine-PAP,Proche,Urbaine,Élevée,Élevée,Élevée,Faible,Ouest,Grande,Pôle financier complet,Grande
C-006,Pétion-Ville,Port-au-Prince,HT0114,Urbaine-PAP,Proche,Urbaine,Élevée,Élevée,Élevée,Moyenne,Ouest,Grande,Pôle financier complet,Moyenne
C-007,Kenscoff,Port-au-Prince,HT0115,Urbaine-Connectée (RN),Moyen,Urbaine,Moyenne,Moyenne,Moyenne,Élevée,Ouest,Moyenne,Caisse populaire uniquement,Petite
C-008,Gressier,Port-au-Prince,HT0116,Urbaine-Non-connectée (H-Ile),Proche,Urbaine,Moyenne,Élevée,Moyenne,Moyenne,Ouest,Petite,Caisse populaire uniquement,Petite
C-009,Léogâne,Léogâne,HT0121,Urbaine-Connectée (RN),Proche,Urbaine,Élevée,Élevée,Élevée,Élevée,Ouest,Grande,Pôle financier complet,Petite
C-010,Petit-Goâve,Léogâne,HT0122,Urbaine-Non-connectée (H-Ile),Moyen,Urbaine,Élevée,Élevée,Élevée,Faible,Ouest,Grande,Pôle financier complet,Petite
C-011,Grand-Goâve,Léogâne,HT0123,Urbaine-Non-connectée (H-Ile),Éloigné,Urbaine,Élevée,Faible,Élevée,Élevée,Ouest,Grande,Caisse populaire uniquement,Petite
C-012,Croix-des-Bouquets,Croix-des-Bouquets,HT0131,Urbaine-PAP,Proche,Urbaine,Moyenne,Élevée,Élevée,Moyenne,Ouest,Grande,Pôle financier complet,Moyenne
C-013,Thomazeau,Croix-des-Bouquets,HT0132,Urbaine-Non-connectée (H-Ile),Proche,Urbaine,Faible,Moyenne,Moyenne,Faible,Ouest,Moyenne,Aucune institution formelle,Petite
C-014,Ganthier,Croix-des-Bouquets,HT0133,Urbaine-Non-connectée (H-Ile),Moyen,Urbaine,Faible,Élevée,Élevée,Faible,Ouest,Moyenne,Microfinance sans banque,Grande
C-015,Cornillon,Croix-des-Bouquets,HT0134,Rurale-Non-connectée (H-Ile),Éloigné,Rurale,Moyenne,Faible,Moyenne,Moyenne,Ouest,Moyenne,Microfinance sans banque,Moyenne
C-016,Fonds-Verrettes,Croix-des-Bouquets,HT0135,Urbaine-Non-connectée (H-Ile),Proche,Urbaine,Faible,Moyenne,Moyenne,Faible,Ouest,Moyenne,Microfinance sans banque,Moyenne
C-017,Arcahaie,Arcahaie,HT0141,Urbaine-Connectée (RN),Éloigné,Urbaine,Moyenne,Moyenne,Élevée,Élevée,Ouest,Grande,Caisse populaire uniquement,Petite
C-018,Cabaret,Arcahaie,HT0142,Urbaine-Connectée (RN),Proche,Urbaine,Moyenne,Élevée,Élevée,Élevée,Ouest,Grande,Pôle financier complet,Petite
C-019,Anse-à-Galets,La Gonâve,HT0151,Urbaine-Non-connectée (H-Ile),Éloigné,Urbaine,Faible,Élevée,Élevée,Faible,Ouest,Grande,Bancarisé,Moyenne
C-020,Pointe-à-Raquette,La Gonâve,HT0152,Urbaine-Non-connectée (H-Ile),Proche,Urbaine,Faible,Élevée,Moyenne,Élevée,Ouest,Petite,Aucune institution formelle,Petite
C-021,Jacmel,Jacmel,HT0211,Rurale-Connectée (RN),Moyen,Mi-urbaine,Élevée,Élevée,Élevée,Faible,Sud-Est,Grande,Pôle financier complet,Petite
C-022,Marigot,Jacmel,HT0212,Rurale-Non-connectée (H-Ile),Proche,Rurale,Élevée,Élevée,Élevée,Élevée,Sud-Est,Grande,Microfinance sans banque,Moyenne
C-023,Cayes-Jacmel,Jacmel,HT0213,Rurale-Non-connectée (H-Ile),Moyen,Rurale,Élevée,Élevée,Moyenne,Élevée,Sud-Est,Moyenne,Caisse populaire uniquement,Moyenne
C-024,La Vallée de Jacmel,Jacmel,HT0214,Rurale-Non-connectée (H-Ile),Proche,Rurale,Élevée,Élevée,Élevée,Moyenne,Sud-Est,Moyenne,Microfinance sans banque,Moyenne
C-025,Bainet,Bainet,HT0221,Rurale-Non-connectée (H-Ile),Proche,Rurale,Moyenne,Moyenne,Moyenne,Faible,Sud-Est,Grande,Aucune institution formelle,Petite
C-026,Côtes-de-Fer,Bainet,HT0222,Rurale-Non-connectée (H-Ile),Proche,Rurale,Moyenne,Faible,Moyenne,Faible,Sud-Est,Moyenne,Aucune institution formelle,Moyenne
C-027,Belle-Anse,Belle-Anse,HT0231,Rurale-Non-connectée (H-Ile),Éloigné,Rurale,Faible,Moyenne,Moyenne,Élevée,Sud-Est,Grande,Caisse populaire uniquement,Moyenne
