id_commune,nom_commune,arrondissement,adm2_pcode,brh_maison_de_transfert,brh_agent_non_bancaire,brh_banque,brh_atm,brh_microfinance,brh_caisse_populaire,population_totale,superficie_km2,superficie_urbaine_km2,taux_compte_formel,taux_compte_mobile,taux_utilisation_OTA,score_connaissance_fka,taux_connaissance_banque,taux_satisfaction_banque,taux_epargne_formelle,taux_telephone_mobile,taux_internet,indice_privation_spatiale,part_urbaine,densite_hab_km2,densite_bancaire_10k,nb_types_services,taille_moyenne_menage,strate,acces_routier,classe_urbanisation,classe_densite_demographique,classe_densite_bancaire,classe_diversite_services,classe_privation_spatiale,departement,classe_taille_population,profil_services_financiers,classe_taille_menage
C-001,Port-au-Prince,Port-au-Prince,HT0111,139,248,22,30,16,6,989447,36.04,25.29,20.86,7.19,55.06,4.0,91.2,49.72,15.34,84.34,29.75,0.276,0.9989802384564308,27454.134295227526,4.659168202036087,6,4.638888107494819,Urbaine-PAP,Proche,Urbaine,Élevée,Élevée,Élevée,Faible,Ouest,Grande,Pôle financier complet,Moyenne
C-002,Delmas,Port-au-Prince,HT0112,168,184,25,37,8,2,396122,27.74,27.74,21.11,6.17,52.73,3.92,95.03,59.55,18.04,77.0,56.33,0.492,1.0,14279.812545061284,10.703773080010704,6,4.730436236401199,Urbaine-PAP,Proche,Urbaine,Élevée,Élevée,Élevée,Moyenne,Ouest,Grande,Pôle financier complet,Moyenne
C-003,Cité Soleil,Port-au-Prince,HT0117,9,21,2,1,2,1,265687,21.81,21.81,21.48,6.72,60.39,4.48,96.25,84.06,15.83,77.48,40.53,0.93,1.0,12181.88904172398,1.354977849875982,6,4.470211155043325,Urbaine-PAP,Proche,Urbaine,Élevée,Faible,Élevée,Élevée,Ouest,Grande,Pôle financier complet,Moyenne
C-004,Tabarre,Port-au-Prince,HT0118,52,56,8,9,3,1,130564,24.47,24.47,25.07,7.8,63.87,3.44,97.25,83.5,12.6,76.9,44.19,0.657,1.0,5335.676338373519,9.880212003308722,6,4.739681272007841,Urbaine-PAP,Proche,Urbaine,Élevée,Élevée,Élevée,Moyenne,Ouest,Grande,Pôle financier complet,Moyenne
C-005,Carrefour,Port-au-Prince,HT0113,230,122,12,9,7,1,512467,165.16,21.85,18.98,7.56,54.28,4.83,100.0,60.6,16.03,78.03,33.09,0.241,0.9980076765918586,3102.851780092032,7.434625058784273,6,4.871544545419978,Urbaine-PAP,Proche,Urbaine,Élevée,Élevée,Élevée,Faible,Ouest,Grande,Pôle financier complet,Grande
C-006,Pétion-Ville,Port-au-Prince,HT0114,124,129,28,34,9,3,377688,165.49,37.34,15.92,11.24,53.01,3.31,63.5,58.43,16.51,68.07,48.28,0.432,0.9914161953781958,2282.2406187685056,8.657939886890768,6,4.536302381724498,Urbaine-PAP,Proche,Urbaine,Élevée,Élevée,Élevée,Moyenne,Ouest,Grande,Pôle financier complet,Moyenne
C-007,Kenscoff,Port-au-Prince,HT0115,2,8,0,0,0,1,57573,202.76,1.46,14.47,2.39,53.49,4.23,94.43,50.51,13.77,80.74,42.26,0.895,0.8664651833324649,283.9465377786546,1.910617824327376,3,4.368872363029292,Urbaine-Connectée (RN),Moyen,Urbaine,Moyenne,Moyenne,Moyenne,Élevée,Ouest,Moyenne,Caisse populaire uniquement,Petite
C-008,Gressier,Port-au-Prince,HT0116,31,21,0,0,0,2,36541,92.31,1.76,16.37,7.95,55.58,3.03,91.89,72.84,11.76,79.47,41.61,0.68,0.9343477190005748,395.8509370599068,14.77792069182562,3,4.066889259877573,Urbaine-Non-connectée (H-Ile),Proche,Urbaine,Moyenne,Élevée,Moyenne,Moyenne,Ouest,Petite,Caisse populaire uniquement,Petite
C-009,Léogâne,Léogâne,HT0121,65,65,3,2,6,4,200287,385.23,10.61,13.18,2.36,47.07,3.89,74.66,68.63,15.23,74.45,29.79,0.846,0.9500117331629112,519.9153752303819,7.2396111579882865,6,4.325199213941737,Urbaine-Connectée (RN),Proche,Urbaine,Élevée,Élevée,Élevée,Élevée,Ouest,Grande,Pôle financier complet,Petite
C-010,Petit-Goâve,Léogâne,HT0122,26,49,3,1,4,0,173389,387.88,6.69,27.8,7.63,66.79,4.14,100.0,80.53,12.75,85.95,42.46,0.423,0.9835052973372012,447.0171186965041,4.786924199343672,5,4.360232359301916,Urbaine-Non-connectée (H-Ile),Moyen,Urbaine,Élevée,Élevée,Élevée,Faible,Ouest,Grande,Pôle financier complet,Petite
